N_file,file,lon,lat
0,intGOES_NS_x96_t_20180522_005630_lat_-49.07_lon_-78.44_024026_dt_+180.nc,-78.44,-49.07
1,intGOES_NS_x96_t_20180522_005723_lat_-46.38_lon_-75.46_024026_dt_+243.nc,-75.46,-46.38
2,intGOES_NS_x96_t_20180522_005817_lat_-43.62_lon_-72.78_024026_dt_+307.nc,-72.78,-43.62
3,intGOES_NS_x96_t_20180522_005910_lat_-40.78_lon_-70.36_024026_dt_+370.nc,-70.36,-40.78
4,intGOES_NS_x96_t_20180522_010003_lat_-37.88_lon_-68.16_024026_dt_+434.nc,-68.16,-37.88
5,intGOES_NS_x96_t_20180522_010056_lat_-34.94_lon_-66.14_024026_dt_-402.nc,-66.14,-34.94
6,intGOES_NS_x96_t_20180522_010149_lat_-31.96_lon_-64.28_024026_dt_-338.nc,-64.28,-31.96
7,intGOES_NS_x96_t_20180522_010243_lat_-28.94_lon_-62.55_024026_dt_-273.nc,-62.55,-28.94
8,intGOES_NS_x96_t_20180522_010336_lat_-25.90_lon_-60.93_024026_dt_-209.nc,-60.93,-25.90
9,intGOES_NS_x96_t_20180522_010429_lat_-22.83_lon_-59.40_024026_dt_-145.nc,-59.40,-22.83
